zipcode,json
00601,{"zone": "11b", "coordinates": {"lat": 18.16, "lon": -66.72}, "temperature_range": "45 to 50"}
00602,{"zone": "13a", "coordinates": {"lat": 18.38, "lon": -67.18}, "temperature_range": "60 to 65"}
00603,{"zone": "13a", "coordinates": {"lat": 18.43, "lon": -67.15}, "temperature_range": "60 to 65"}
00606,{"zone": "12b", "coordinates": {"lat": 18.18, "lon": -66.98}, "temperature_range": "55 to 60"}
00610,{"zone": "12b", "coordinates": {"lat": 18.28, "lon": -67.14}, "temperature_range": "55 to 60"}
00612,{"zone": "13a", "coordinates": {"lat": 18.45, "lon": -66.73}, "temperature_range": "60 to 65"}
00616,{"zone": "12b", "coordinates": {"lat": 18.4, "lon": -66.66}, "temperature_range": "55 to 60"}
00617,{"zone": "13a", "coordinates": {"lat": 18.45, "lon": -66.53}, "temperature_range": "60 to 65"}
00622,{"zone": "12b", "coordinates": {"lat": 17.99, "lon": -67.15}, "temperature_range": "55 to 60"}
00623,{"zone": "12b", "coordinates": {"lat": 18.08, "lon": -67.14}, "temperature_range": "55 to 60"}
00624,{"zone": "13a", "coordinates": {"lat": 18.06, "lon": -66.72}, "temperature_range": "60 to 65"}
00627,{"zone": "13a", "coordinates": {"lat": 18.48, "lon": -66.84}, "temperature_range": "60 to 65"}
00637,{"zone": "12b", "coordinates": {"lat": 18.08, "lon": -66.96}, "temperature_range": "55 to 60"}
00638,{"zone": "12b", "coordinates": {"lat": 18.33, "lon": -66.47}, "temperature_range": "55 to 60"}
00641,{"zone": "12a", "coordinates": {"lat": 18.27, "lon": -66.7}, "temperature_range": "50 to 55"}
00646,{"zone": "13a", "coordinates": {"lat": 18.47, "lon": -66.27}, "temperature_range": "60 to 65"}
00647,{"zone": "13a", "coordinates": {"lat": 17.96, "lon": -66.94}, "temperature_range": "60 to 65"}
00650,{"zone": "12b", "coordinates": {"lat": 18.36, "lon": -66.56}, "temperature_range": "55 to 60"}
00652,{"zone": "13a", "coordinates": {"lat": 18.45, "lon": -66.6}, "temperature_range": "60 to 65"}
00653,{"zone": "13a", "coordinates": {"lat": 17.97, "lon": -66.93}, "temperature_range": "60 to 65"}
00656,{"zone": "13a", "coordinates": {"lat": 18.02, "lon": -66.79}, "temperature_range": "60 to 65"}
00659,{"zone": "13a", "coordinates": {"lat": 18.48, "lon": -66.82}, "temperature_range": "60 to 65"}
00660,{"zone": "12b", "coordinates": {"lat": 18.14, "lon": -67.12}, "temperature_range": "55 to 60"}
00662,{"zone": "13a", "coordinates": {"lat": 18.5, "lon": -67.02}, "temperature_range": "60 to 65"}
00664,{"zone": "12a", "coordinates": {"lat": 18.22, "lon": -66.59}, "temperature_range": "50 to 55"}
00667,{"zone": "12b", "coordinates": {"lat": 18.04, "lon": -67.06}, "temperature_range": "55 to 60"}
00669,{"zone": "12b", "coordinates": {"lat": 18.29, "lon": -66.88}, "temperature_range": "55 to 60"}
00670,{"zone": "12b", "coordinates": {"lat": 18.27, "lon": -67.06}, "temperature_range": "55 to 60"}
00674,{"zone": "13a", "coordinates": {"lat": 18.43, "lon": -66.48}, "temperature_range": "60 to 65"}
00676,{"zone": "12b", "coordinates": {"lat": 18.39, "lon": -67.11}, "temperature_range": "55 to 60"}
00677,{"zone": "13a", "coordinates": {"lat": 18.34, "lon": -67.25}, "temperature_range": "60 to 65"}
