zip,city,state,latitude,longitude,timezone,dst,location
00210,Portsmouth,NH,43.005895,-71.013202,-5,True,POINT(-71.013202 43.005895)
00211,Portsmouth,NH,43.005895,-71.013202,-5,True,POINT(-71.013202 43.005895)
00212,Portsmouth,NH,43.005895,-71.013202,-5,True,POINT(-71.013202 43.005895)
00213,Portsmouth,NH,43.005895,-71.013202,-5,True,POINT(-71.013202 43.005895)
00214,Portsmouth,NH,43.005895,-71.013202,-5,True,POINT(-71.013202 43.005895)
00215,Portsmouth,NH,43.005895,-71.013202,-5,True,POINT(-71.013202 43.005895)
00501,Holtsville,NY,40.922326,-72.637078,-5,True,POINT(-72.637078 40.922326)
00544,Holtsville,NY,40.922326,-72.637078,-5,True,POINT(-72.637078 40.922326)
00601,Adjuntas,PR,18.180103,-66.74947,-4,False,POINT(-66.74947 18.180103)
00602,Aguada,PR,18.363285,-67.18024,-4,False,POINT(-67.18024 18.363285)
00603,Aguadilla,PR,18.448619,-67.13422,-4,False,POINT(-67.13422 18.448619)
00604,Aguadilla,PR,18.498987,-67.13699,-4,False,POINT(-67.13699 18.498987)
00605,Aguadilla,PR,18.465162,-67.141486,-4,False,POINT(-67.141486 18.465162)
00606,Maricao,PR,18.182151,-66.9588,-4,False,POINT(-66.9588 18.182151)
00607,Aguas Buenas,PR,18.256995,-66.104657,-4,False,POINT(-66.104657 18.256995)
00609,Aibonito,PR,18.142002,-66.273278,-4,False,POINT(-66.273278 18.142002)
00610,Anasco,PR,18.288319,-67.13604,-4,False,POINT(-67.13604 18.288319)
00611,Angeles,PR,18.279531,-66.80217,-4,False,POINT(-66.80217 18.279531)
00612,Arecibo,PR,18.449732,-66.69879,-4,False,POINT(-66.69879 18.449732)
00613,Arecibo,PR,18.458093,-66.732732,-4,False,POINT(-66.732732 18.458093)
00614,Arecibo,PR,18.429675,-66.674506,-4,False,POINT(-66.674506 18.429675)
00615,Arroyo,PR,17.96977,-66.061459,-4,False,POINT(-66.061459 17.96977)
00616,Bajadero,PR,18.426748,-66.67669,-4,False,POINT(-66.67669 18.426748)
00617,Barceloneta,PR,18.455499,-66.55575,-4,False,POINT(-66.55575 18.455499)
00618,Barranquitas,PR,18.185463,-66.305827,-4,False,POINT(-66.305827 18.185463)
00622,Boqueron,PR,18.003125,-67.16745,-4,False,POINT(-67.16745 18.003125)
